fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,alcohol
7.6,0.56,0.12,10.4,0.096,3.1354942159291497,3.32,0.45,9.1
5.1,0.29,0.28,8.3,0.026000000000000002,3.332204510175204,3.36,0.37,11.0
9.2,0.28,0.49,11.8,0.042,3.4011973816621555,3.1,0.34,10.1
7.0,0.36,0.25,5.7,0.015,2.70805020110221,2.82,0.59,13.2
7.2,0.51,0.24,10.0,0.09300000000000001,3.58351893845611,3.41,0.47,9.0
6.3,0.25,0.44,1.7,0.024,3.6109179126442243,3.18,0.4,12.5
6.4,0.22,0.31,13.9,0.04,4.060443010546419,3.21,0.38,10.7
6.6,0.14,0.44,1.6,0.042,3.871201010907891,3.32,0.51,10.2
6.8,0.56,0.22,1.8,0.07400000000000001,2.772588722239781,3.4,0.82,11.2
7.5,0.23,0.36,7.0,0.036000000000000004,3.784189633918261,3.04,0.32,11.0
5.3,0.32,0.12,6.6,0.043,3.1354942159291497,3.36,0.6,10.4
7.4,0.22,0.27,1.6,0.057,3.828641396489095,3.29,0.44,9.9
6.6,0.36,0.52,10.1,0.05,3.4011973816621555,3.07,0.4,9.4
7.2,0.19,0.27,11.2,0.061,3.8501476017100584,2.99,0.59,9.3
6.4,0.28,0.23,6.0,0.051,3.9318256327243257,3.15,0.52,10.2
7.5,0.3,0.21,6.55,0.026000000000000002,3.5263605246161616,2.92,0.35,11.1
7.1,0.3,0.49,1.6,0.045,3.4657359027997265,3.4,0.59,10.2
8.3,0.33,0.43,9.2,0.046,3.1354942159291497,3.38,0.47,9.3
5.7,0.37,0.3,1.1,0.028999999999999998,3.2188758248682006,3.18,0.39,11.7
7.0,0.32,0.31,6.4,0.031,3.6635616461296463,3.38,0.58,12.2
8.8,0.41,0.64,2.2,0.09300000000000001,2.302585092994046,3.54,0.66,10.5
7.6,0.21,0.35,1.2,0.040999999999999995,2.0794415416798357,3.06,0.45,11.3
6.0,0.32,0.3,1.3,0.025,2.9444389791664403,3.07,0.64,13.3
6.6,0.29,0.73,2.2,0.027000000000000003,3.091042453358316,3.12,0.48,12.4
6.8,0.12,0.3,12.9,0.049,3.4965075614664802,3.2,0.35,9.9
7.9,0.26,0.41,15.15,0.04,3.6635616461296463,2.96,0.6,10.0
6.2,0.3,0.17,2.8,0.04,3.2188758248682006,3.01,0.46,9.0
7.4,0.785,0.19,5.2,0.094,2.995732273553991,3.16,0.52,9.6
6.9,0.36,0.28,13.55,0.048,3.9512437185814275,3.0,0.6,9.5
7.5,0.34,0.28,4.0,0.027999999999999997,3.8501476017100584,3.2,0.5,13.2
6.9,0.22,0.31,6.3,0.028999999999999998,3.7376696182833684,3.08,0.49,10.8
7.3,0.21,0.29,1.6,0.034,3.4011973816621555,3.3,0.5,11.0
6.0,0.29,0.25,1.4,0.033,3.4339872044851463,3.08,0.43,13.2
7.7,0.6,0.06,2.0,0.079,2.995732273553991,3.39,0.62,10.1
7.2,1.0,0.0,3.0,0.102,2.0794415416798357,3.43,0.46,10.0
5.7,0.26,0.27,4.1,0.201,4.310799125385514,3.27,0.38,9.4
6.4,0.24,0.49,5.8,0.053,3.258096538021482,3.01,0.98,10.5
7.0,0.19,0.23,5.7,0.12300000000000001,3.332204510175204,3.04,0.54,9.4
7.5,0.41,0.23,14.8,0.054000000000000006,3.367295829986474,3.18,0.49,9.7
7.0,0.46,0.2,16.7,0.046,3.9318256327243257,3.08,0.56,9.4
6.9,0.13,0.28,13.3,0.05,3.871201010907891,3.34,0.42,10.1
6.8,0.28,0.17,13.9,0.047,3.912023005428146,3.21,0.51,9.0
7.1,0.37,0.3,6.2,0.04,3.912023005428146,3.17,0.27,13.6
6.1,0.27,0.31,1.5,0.035,2.8903717578961645,3.32,0.44,11.1
7.1,0.18,0.49,1.3,0.033,2.5649493574615367,3.05,0.53,11.3
6.5,0.29,0.52,1.7,0.034,3.7376696182833684,3.25,0.59,10.4
7.1,0.35,0.27,3.1,0.034,3.367295829986474,3.26,0.38,13.1
6.4,0.26,0.21,7.1,0.04,3.58351893845611,3.39,0.58,9.9
7.7,0.3,0.42,14.3,0.045,3.828641396489095,3.18,0.63,9.2
6.5,0.28,0.29,2.7,0.038,3.295836866004329,3.32,0.41,11.6
6.2,0.34,0.28,7.5,0.034,3.713572066704308,3.14,0.6,9.7
6.9,0.19,0.49,6.6,0.036000000000000004,3.912023005428146,3.2,0.27,11.5
7.6,0.48,0.33,7.0,0.024,2.70805020110221,3.25,0.45,12.5
5.6,0.49,0.13,4.5,0.039,2.8903717578961645,3.42,0.9,13.7
7.3,0.22,0.37,15.5,0.048,4.2626798770413155,3.25,0.77,9.4
6.9,0.35,0.74,1.0,0.044000000000000004,2.9444389791664403,3.13,0.55,10.2
7.9,0.37,0.23,1.8,0.077,3.1780538303479458,3.28,0.67,9.3
7.0,0.57,0.1,8.3,0.094,3.1780538303479458,3.4,0.47,9.2
7.3,0.35,0.67,8.3,0.053,2.3978952727983707,3.19,0.5,10.9
5.6,0.12,0.33,2.9,0.044000000000000004,3.091042453358316,3.17,0.32,12.9
7.0,0.26,0.26,10.8,0.039,3.6375861597263857,3.47,0.58,10.3
6.4,0.24,0.31,2.8,0.038,3.7376696182833684,3.37,0.66,11.7
8.3,0.705,0.12,2.6,0.092,2.5649493574615367,3.51,0.72,10.0
9.4,0.5,0.34,3.6,0.08199999999999999,1.791759469228055,3.29,0.52,10.7
8.5,0.23,0.34,1.3,0.035,4.007333185232471,3.07,0.55,11.0
9.3,0.33,0.45,1.5,0.057,2.995732273553991,3.18,0.89,11.1
6.1,0.41,0.2,12.6,0.032,4.007333185232471,2.91,0.43,10.6
8.2,0.64,0.27,2.0,0.095,1.791759469228055,3.13,0.62,9.1
7.9,0.65,0.01,2.5,0.078,2.8903717578961645,3.34,0.74,11.7
5.8,0.25,0.24,13.3,0.044000000000000004,3.7376696182833684,3.34,0.42,9.5
7.6,0.31,0.49,3.95,0.044000000000000004,3.332204510175204,3.08,0.67,12.8
8.6,0.31,0.3,0.9,0.045,2.833213344056216,2.95,0.39,10.1
7.0,0.24,0.47,1.3,0.043,2.9444389791664403,3.19,0.45,11.0
6.7,0.23,0.25,1.6,0.036000000000000004,3.367295829986474,3.3,0.54,10.3
7.9,0.69,0.21,2.1,0.08,3.5263605246161616,3.25,0.51,9.9
7.4,0.25,0.37,6.9,0.02,2.70805020110221,3.0,0.48,10.7
7.8,0.24,0.38,2.1,0.057999999999999996,2.70805020110221,3.21,0.55,9.9
8.1,0.2,0.28,0.9,0.023,3.912023005428146,2.92,0.36,11.1
6.8,0.67,0.02,1.8,0.05,1.791759469228055,3.48,0.52,9.5
7.0,0.2,0.38,8.1,0.05,3.7612001156935624,3.3,0.54,9.8
6.4,0.24,0.22,1.5,0.038,3.6635616461296463,3.41,0.55,9.9
8.2,0.26,0.34,2.5,0.073,2.833213344056216,3.4,0.78,11.3
6.6,0.24,0.35,7.7,0.031,3.6109179126442243,3.19,0.37,10.5
7.6,0.16,0.44,1.4,0.043,3.258096538021482,3.11,0.75,10.3
7.2,0.32,0.47,5.1,0.044000000000000004,2.995732273553991,3.03,0.41,12.6
8.0,0.43,0.36,2.3,0.075,2.3978952727983707,3.34,0.46,9.4
6.3,0.27,0.25,5.8,0.038,3.970291913552122,3.28,0.38,9.4
7.9,0.2,0.34,1.2,0.04,3.4011973816621555,3.14,0.41,10.6
7.6,0.18,0.28,7.1,0.040999999999999995,3.4011973816621555,3.2,0.42,9.2
8.0,0.58,0.28,3.2,0.066,3.091042453358316,3.22,0.54,9.4
6.2,0.17,0.3,1.1,0.037000000000000005,2.70805020110221,3.5,0.54,10.3
6.8,0.19,0.36,1.9,0.035,3.4339872044851463,3.15,0.54,10.8
9.6,0.38,0.42,1.9,0.071,1.791759469228055,3.15,0.75,10.5
8.0,0.33,0.32,4.6,0.040999999999999995,3.4657359027997265,2.92,0.74,12.2
6.1,0.2,0.34,9.5,0.040999999999999995,3.6635616461296463,3.14,0.44,10.1
7.1,0.22,0.33,2.8,0.033,3.8918202981106265,3.15,0.38,12.7
6.3,0.27,0.46,11.75,0.037000000000000005,4.127134385045092,3.25,0.53,9.5
8.1,0.4,0.32,7.9,0.031,3.1780538303479458,3.05,0.46,13.3
6.1,0.27,0.32,1.1,0.034,3.2188758248682006,3.36,0.4,12.5
6.8,0.28,0.6,1.1,0.132,3.7612001156935624,3.09,0.44,9.1
6.0,0.32,0.33,9.9,0.032,3.1354942159291497,3.1,0.43,12.1
7.5,0.28,0.41,1.3,0.044000000000000004,2.4849066497880004,3.28,0.45,10.3
7.9,0.16,0.3,7.4,0.05,4.07753744390572,3.12,0.37,9.5
7.0,0.2,0.34,5.7,0.035,3.4965075614664802,3.19,0.46,11.5
6.7,0.21,0.42,9.1,0.049,3.4657359027997265,3.12,0.74,9.9
9.8,0.5,0.34,2.3,0.094,2.3978952727983707,3.24,0.6,9.7
6.5,0.33,0.72,1.1,0.061,2.0794415416798357,3.09,0.57,9.5
6.2,0.32,0.12,4.8,0.054000000000000006,1.9459101490553132,3.16,0.5,9.3
10.0,0.43,0.33,2.7,0.095,3.367295829986474,3.22,0.68,10.0
6.4,0.25,0.33,1.4,0.04,3.7612001156935624,3.19,0.48,11.3
9.8,0.44,0.47,2.5,0.063,2.302585092994046,3.24,0.65,10.8
7.3,0.26,0.49,5.0,0.027999999999999997,3.4965075614664802,3.24,0.54,10.8
6.9,0.51,0.23,2.0,0.07200000000000001,2.6390573296152584,3.4,0.84,11.2
5.9,0.34,0.31,2.0,0.03,3.6635616461296463,3.4,0.41,12.9
13.8,0.49,0.67,3.0,0.09300000000000001,1.9459101490553132,3.02,0.93,12.0
6.8,0.18,0.3,12.8,0.062,2.995732273553991,3.0,0.52,9.0
9.1,0.28,0.49,2.0,0.059000000000000004,2.3978952727983707,3.15,0.46,10.1
7.7,0.27,0.35,5.3,0.03,3.4339872044851463,3.11,0.42,12.2
5.9,0.28,0.34,3.6,0.04,3.9318256327243257,3.31,0.52,11.6
6.7,0.15,0.29,5.0,0.057999999999999996,3.367295829986474,3.52,0.44,10.2
6.8,0.36,0.32,1.6,0.039,2.3978952727983707,3.3,0.67,9.6
8.3,0.26,0.37,1.4,0.076,2.1972245773362196,3.26,0.7,9.6
8.0,0.23,0.28,2.7,0.048,3.912023005428146,3.26,0.72,9.5
7.1,0.26,0.34,14.4,0.067,3.58351893845611,3.07,0.53,9.1
8.3,0.41,0.51,2.0,0.046,2.4849066497880004,3.02,0.55,11.4
5.6,0.15,0.26,5.55,0.051,3.9512437185814275,3.47,0.5,11.0
7.0,0.53,0.02,1.0,0.036000000000000004,3.6888794541139363,3.2,0.32,9.0
8.6,0.22,0.33,1.2,0.031,3.6635616461296463,2.83,0.31,10.3
6.5,0.13,0.37,1.0,0.036000000000000004,3.8918202981106265,3.41,0.51,11.5
6.9,0.25,0.35,9.2,0.034,3.7612001156935624,3.21,0.36,11.5
9.3,0.4,0.49,2.5,0.085,3.6635616461296463,3.22,0.55,9.4
7.3,0.24,0.39,3.6,0.024,3.58351893845611,3.17,0.51,10.9
6.0,0.34,0.66,15.9,0.046,3.295836866004329,3.14,0.5,8.8
8.5,0.34,0.4,4.7,0.055,1.3862943611198906,3.38,0.66,11.6
6.4,0.17,0.34,13.4,0.044000000000000004,3.828641396489095,3.06,0.43,9.1
6.2,0.43,0.49,6.4,0.045,2.5649493574615367,3.27,0.57,9.0
4.7,0.67,0.09,1.0,0.02,1.791759469228055,3.3,0.34,13.6
7.3,0.22,0.41,15.4,0.05,4.02535169073515,3.32,0.59,8.9
7.2,0.24,0.27,11.4,0.034,3.713572066704308,3.2,0.44,9.0
7.1,0.17,0.43,1.3,0.023,3.5263605246161616,3.11,0.56,11.7
9.3,0.655,0.26,2.0,0.096,1.791759469228055,3.25,0.42,9.6
6.7,0.23,0.33,8.1,0.048,3.828641396489095,3.11,0.52,10.1
7.0,0.26,0.46,15.55,0.037000000000000005,4.127134385045092,2.94,0.35,8.8
6.2,0.24,0.27,16.8,0.04,3.8918202981106265,3.23,0.38,10.5
8.0,0.74,0.21,4.0,0.05,3.2188758248682006,3.06,0.38,9.7
7.2,0.29,0.2,7.7,0.046,3.9512437185814275,3.16,0.52,9.5
7.1,0.46,0.2,1.9,0.077,3.367295829986474,3.37,0.64,10.4
10.9,0.39,0.47,1.8,0.11800000000000001,1.9459101490553132,3.3,0.75,9.8
7.5,0.57,0.02,2.6,0.077,2.4849066497880004,3.36,0.62,10.8
7.0,0.2,0.49,5.9,0.038,3.6888794541139363,3.21,0.48,10.8
6.3,0.41,0.22,7.3,0.035,3.1780538303479458,3.2,0.39,11.94
6.0,0.5,0.0,1.4,0.057,2.772588722239781,3.36,0.45,9.5
7.7,0.49,0.26,1.9,0.062,2.302585092994046,3.39,0.64,9.6
6.9,0.54,0.04,3.0,0.077,2.0794415416798357,3.69,0.91,9.4
7.3,0.42,0.38,6.8,0.045,3.4011973816621555,3.19,0.37,12.6
7.2,0.37,0.32,2.0,0.062,2.772588722239781,3.23,0.73,11.3
7.8,0.25,0.28,7.2,0.04,3.8501476017100584,3.14,0.6,10.1
6.8,0.35,0.44,6.5,0.055999999999999994,3.4657359027997265,3.14,0.44,9.5
6.2,0.47,0.21,1.0,0.044000000000000004,2.6390573296152584,3.14,0.46,9.2
10.1,0.65,0.37,5.1,0.11,2.4849066497880004,3.32,0.64,10.4
9.3,0.715,0.24,2.1,0.07,1.791759469228055,3.12,0.59,9.9
8.9,0.31,0.36,2.6,0.055999999999999994,2.3978952727983707,3.4,0.69,11.8
7.5,0.29,0.24,9.9,0.057999999999999996,3.258096538021482,3.15,0.46,10.9
6.4,0.46,0.22,14.7,0.047,3.9512437185814275,3.39,0.6,10.5
8.0,0.36,0.43,10.1,0.053,3.4011973816621555,3.4,0.46,9.5
5.8,0.34,0.16,7.0,0.037000000000000005,3.295836866004329,3.46,0.45,10.0
6.4,0.16,0.31,5.3,0.043,3.7612001156935624,3.35,0.47,10.5
7.8,0.6,0.26,2.0,0.08,3.4657359027997265,3.21,0.52,9.9
8.7,0.34,0.46,13.8,0.055,4.23410650459726,3.36,0.37,9.5
7.5,0.26,0.59,11.8,0.046,4.07753744390572,3.17,0.46,8.9
6.6,0.61,0.0,1.6,0.069,1.6094379124341003,3.33,0.37,10.4
7.6,0.31,0.26,1.7,0.073,3.713572066704308,3.1,0.46,9.8
6.7,0.41,0.01,2.8,0.048,3.6888794541139363,3.24,0.35,9.5
9.1,0.22,0.24,2.1,0.078,0.6931471805599453,3.41,0.87,10.3
8.0,0.28,0.44,1.8,0.081,3.367295829986474,3.36,0.66,11.2
6.5,0.32,0.34,5.7,0.044000000000000004,3.332204510175204,3.28,0.6,12.0
6.9,0.84,0.21,4.1,0.07400000000000001,2.833213344056216,3.53,0.72,9.25
7.4,0.155,0.34,2.3,0.045,4.310799125385514,3.18,0.61,9.9
8.9,0.35,0.4,3.6,0.11,2.5649493574615367,3.23,0.7,12.0
9.2,0.53,0.24,2.6,0.078,3.367295829986474,3.21,0.57,9.5
6.6,0.44,0.15,2.1,0.076,3.1354942159291497,3.32,0.62,9.3
7.0,0.13,0.3,5.0,0.055999999999999994,3.4657359027997265,3.47,0.42,10.5
7.4,0.29,0.38,1.7,0.062,2.302585092994046,3.41,0.53,9.5
8.2,0.34,0.38,2.5,0.08,2.5649493574615367,3.3,0.47,9.0
8.6,0.33,0.34,11.8,0.059000000000000004,3.7612001156935624,3.17,0.52,10.0
8.0,0.6,0.22,2.1,0.08,3.258096538021482,3.3,0.49,9.9
7.2,0.31,0.35,7.2,0.046,3.828641396489095,3.14,0.53,9.7
7.2,0.37,0.4,11.6,0.032,3.5553480614894135,3.1,0.51,9.8
8.1,0.66,0.7,2.2,0.098,3.258096538021482,3.08,0.53,9.0
6.6,0.38,0.15,4.6,0.044000000000000004,3.258096538021482,3.11,0.38,10.2
6.2,0.23,0.38,1.6,0.044000000000000004,2.5649493574615367,3.3,0.73,11.4
7.8,0.4,0.49,7.8,0.06,3.5553480614894135,3.26,0.58,11.3
7.7,0.26,0.34,6.4,0.05,3.6109179126442243,3.19,0.7,11.5
7.2,0.28,0.54,16.7,0.045,4.007333185232471,3.08,0.49,9.5
7.8,0.34,0.35,1.8,0.042,2.1972245773362196,3.11,0.41,12.1
7.1,0.69,0.04,2.1,0.068,2.995732273553991,3.44,0.67,9.8
6.9,0.52,0.54,7.9,0.036000000000000004,3.1780538303479458,3.26,0.47,12.2
6.5,0.34,0.36,11.0,0.052000000000000005,3.9889840465642745,3.44,0.55,9.3
5.8,0.35,0.29,3.2,0.034,3.7376696182833684,3.35,0.58,11.63333333
6.6,0.22,0.3,14.7,0.045,3.9318256327243257,3.14,0.37,10.6
8.0,0.22,0.42,14.6,0.044000000000000004,3.828641396489095,3.21,0.69,8.6
7.9,0.12,0.49,5.2,0.049,3.5263605246161616,3.18,0.47,10.6
6.2,0.27,0.32,6.3,0.048,3.871201010907891,3.21,0.6,11.0
8.3,0.66,0.15,1.9,0.079,2.8903717578961645,3.31,0.54,9.6
5.9,0.26,0.24,2.4,0.046,3.332204510175204,3.63,0.73,11.3
7.3,0.19,0.27,13.9,0.057,3.828641396489095,2.94,0.41,8.8
7.5,0.17,0.37,1.5,0.06,2.9444389791664403,3.54,0.88,10.7
7.7,0.25,0.3,7.8,0.038,4.219507705176107,3.1,0.5,10.1
6.6,0.58,0.3,5.1,0.057,3.4339872044851463,3.24,0.38,9.0
6.6,0.12,0.25,1.4,0.039,3.091042453358316,3.2,0.45,11.2
6.3,0.98,0.01,2.0,0.057,2.772588722239781,3.6,0.46,11.2
7.5,0.3,0.71,1.3,0.16,3.8066624897703196,3.08,0.42,8.9
8.7,0.31,0.21,5.6,0.039,3.367295829986474,2.96,0.52,11.0
6.4,0.45,0.07,1.1,0.03,2.3978952727983707,2.97,0.28,10.8
5.8,0.22,0.25,1.5,0.024,3.091042453358316,3.37,0.58,10.4
7.4,0.3,0.3,5.2,0.053,3.828641396489095,3.12,0.45,10.3
5.0,1.04,0.24,1.6,0.05,3.4965075614664802,3.74,0.62,11.5
7.3,0.41,0.24,6.8,0.057,3.7376696182833684,3.2,0.41,9.9
7.3,0.59,0.26,7.2,0.07,3.58351893845611,3.37,0.49,9.4
7.8,0.61,0.29,1.6,0.114,2.302585092994046,3.26,1.56,9.1
7.8,0.29,0.33,8.75,0.035,3.5263605246161616,3.11,0.46,10.7
7.8,0.645,0.0,2.0,0.08199999999999999,2.1972245773362196,3.38,0.59,9.8
5.7,0.22,0.22,16.65,0.044000000000000004,3.6888794541139363,3.24,0.48,9.0
6.2,0.27,0.49,1.4,0.05,3.044522437723423,3.32,0.44,9.8
6.7,0.31,0.31,4.9,0.031,3.044522437723423,3.36,0.82,12.0
7.1,0.21,0.28,2.7,0.034,3.1780538303479458,3.35,0.64,10.2
7.5,0.42,0.45,9.1,0.028999999999999998,3.044522437723423,3.12,0.36,10.1
8.2,0.27,0.43,1.6,0.035,3.4657359027997265,3.1,0.5,12.3
6.6,0.28,0.28,8.5,0.052000000000000005,4.02535169073515,3.09,0.55,8.9
7.7,0.965,0.1,2.1,0.11199999999999999,2.4849066497880004,3.26,0.5,9.5
6.4,0.19,0.42,2.9,0.032,3.4965075614664802,3.3,0.41,11.7
6.9,0.33,0.62,7.5,0.038,3.8501476017100584,3.23,0.43,13.4
6.4,0.24,0.26,8.2,0.054000000000000006,3.871201010907891,3.12,0.5,9.5
7.2,0.27,0.28,15.2,0.046,1.9459101490553132,3.17,0.39,10.9
6.1,0.4,0.16,1.8,0.069,2.4849066497880004,3.42,0.74,10.1
7.2,0.33,0.22,4.5,0.031,2.3978952727983707,2.97,0.52,12.2
6.1,0.2,0.4,1.9,0.027999999999999997,3.4965075614664802,3.26,0.72,11.7
6.3,0.25,0.53,1.8,0.021,3.7376696182833684,3.19,0.31,13.0
8.0,0.77,0.32,2.1,0.079,2.833213344056216,3.27,0.5,9.8
6.4,0.31,0.4,6.4,0.039,3.6888794541139363,3.14,0.52,9.8
7.0,0.17,0.37,5.7,0.025,3.4011973816621555,3.2,0.49,10.8
5.8,0.12,0.21,1.3,0.055999999999999994,3.58351893845611,3.32,0.33,11.4
6.7,0.48,0.49,2.9,0.03,3.367295829986474,3.13,0.4,13.0
7.6,0.43,0.29,2.1,0.075,2.995732273553991,3.4,0.64,9.5
6.8,0.11,0.27,8.6,0.044000000000000004,3.828641396489095,3.2,0.37,9.9
9.2,0.25,0.34,1.2,0.026000000000000002,3.4657359027997265,2.93,0.37,11.3
6.7,0.16,0.28,2.5,0.046,3.713572066704308,3.38,0.51,11.4
13.3,0.34,0.52,3.2,0.094,2.8903717578961645,3.05,0.81,9.5
6.4,0.43,0.32,1.4,0.048,2.3978952727983707,3.08,0.41,11.4
9.6,0.77,0.12,2.9,0.08199999999999999,3.4339872044851463,3.3,0.64,10.4
6.6,0.26,0.27,1.5,0.04,2.995732273553991,3.36,0.62,10.5
6.0,0.32,0.3,7.3,0.174,3.8501476017100584,3.18,0.49,9.4
8.2,0.24,0.34,5.1,0.062,2.1972245773362196,3.22,0.94,10.9
10.0,0.49,0.2,11.0,0.071,2.6390573296152584,3.16,0.69,9.2
7.8,0.25,0.37,1.0,0.043,2.3978952727983707,3.08,0.38,11.4
7.1,0.44,0.37,2.7,0.040999999999999995,3.58351893845611,3.07,0.43,13.5
7.9,0.35,0.24,15.6,0.07200000000000001,3.8066624897703196,3.03,0.59,10.5
8.4,0.17,0.31,6.7,0.038,3.4011973816621555,3.1,0.32,10.6
7.2,0.21,1.0,1.1,0.154,3.8501476017100584,2.95,0.43,9.2
8.1,1.33,0.0,1.8,0.08199999999999999,1.3862943611198906,3.54,0.48,10.9
8.1,0.29,0.36,2.2,0.048,3.58351893845611,3.27,1.01,12.4
6.8,0.14,0.18,1.4,0.047,3.4339872044851463,3.27,0.54,11.2
7.0,0.28,0.39,8.7,0.051,3.4965075614664802,3.38,0.53,10.5
6.5,0.28,0.27,5.2,0.04,3.8066624897703196,3.19,0.69,9.4
6.1,0.27,0.43,7.5,0.049,4.189654742026425,3.12,0.47,9.0
6.9,0.54,0.04,3.0,0.077,2.0794415416798357,3.69,0.91,9.4
6.8,0.26,0.48,6.2,0.049,4.02535169073515,3.21,0.45,9.4
6.8,0.785,0.0,2.4,0.10400000000000001,2.70805020110221,3.52,0.55,10.7
6.9,0.29,0.23,8.6,0.055999999999999994,4.04305126783455,3.17,0.44,8.8
